en,Venom: Let There Be Carnage,2021-09-30,6.8,97,['Science Fiction', 'Action', 'Adventure']
en,Eternals,2021-11-03,7.1,157,['Action', 'Adventure', 'Science Fiction', 'Fantasy']
en,Dune,2021-09-15,8.0,155,['Action', 'Adventure', 'Science Fiction']
en,Army of Thieves,2021-10-27,6.9,127,['Action', 'Crime', 'Thriller']
en,Free Guy,2021-08-11,7.8,115,['Comedy', 'Action', 'Adventure', 'Science Fiction']
en,Gunpowder Milkshake,2021-07-14,6.5,114,['Action', 'Thriller', 'Crime']
en,Venom, 2018-09-28,6.8,112,['Science Fiction', 'Action']
en,Halloween Kills,2021-10-14,7.0,105,['Horror', 'Thriller']
pl,W lesie dziś nie zaśnie nikt 2,2021-10-27,4.1,96,['Horror', 'Thriller']
en,American Badger,2021-03-05,6.3,88,['Action', 'Thriller']
en,The Addams Family 2,2021-10-01,7.4,93,['Animation', 'Comedy', 'Family']
ja,The Seven Deadly Sins: Cursed by Light,2021-07-02,8.4,0,['Animation', 'Action']
en,Shang-Chi and the Legend of the Ten Rings,2021-09-01,7.7,132,['Action', 'Adventure', 'Fantasy']
en,Snake Eyes: G.I. Joe Origins,2021-07-22,6.9,121,['Action', 'Adventure']
en,The Vault,2021-03-03,7.1,118,['Crime', 'Action', 'Thriller']
en,The Deep House,2021-06-30,5.5,85,['Horror']
no,I onde dager,2021-07-30,6.8,113,['Action', 'Comedy', 'Thriller', 'Horror']
en,Zone 414,2021-09-03,5.8,98,['Science Fiction', 'Thriller', 'Mystery']
ja,Demon Slayer the Movie: Mugen Train,2020-10-16,8.4,117,['Animation', 'Action', 'Adventure', 'Fantasy']
en,The Protégé,2021-08-19,6.8,109,['Action', 'Crime', 'Thriller']
pt,Peçanha Contra o Animal,2021-10-22,5.4,67,['Comedy', 'Crime']
ru,The Last Warrior: Root of Evil,2021-01-01,7.0,120,['Fantasy', 'Adventure', 'Comedy']
pl,W jak morderstwo,2021-06-18,5.8,104,['Crime', 'Mystery', 'Drama', 'Comedy']
en,The Suicide Squad,2021-07-28,7.8,132,['Action', 'Adventure', 'Fantasy']
en,Deathstroke: Knights & Dragons - The Movie,2020-08-04,7.0,87,['Animation', 'Action', 'Adventure', 'Science Fiction']
en,The Boss Baby: Family Business,2021-07-01,7.7,107,['Animation', 'Comedy', 'Adventure', 'Family']
en,Ripper Untold,2021-06-28,6.5,85,['Horror']
es,Matando Cabos 2: La Máscara del Máscara,2021-10-01,7.9,0,['Action', 'Comedy', 'Adventure']
en,F9,2021-05-19,7.4,143,['Action', 'Crime', 'Thriller']
en,Jungle Cruise,2021-07-28,7.8,127,['Adventure', 'Fantasy', 'Comedy', 'Action']
en,Luca,2021-06-17,8.0,95,['Animation', 'Comedy', 'Family', 'Fantasy']
es,Operación Camarón,2021-06-24,5.5,90,['Comedy']
en,Black Widow,2021-07-07,7.7,134,['Action', 'Adventure', 'Science Fiction']
en,Separation,2021-04-30,6.0,107,['Horror']
en,PAW Patrol: The Movie,2021-08-09,7.7,86,['Animation', 'Family', 'Adventure', 'Comedy']
en,After We Fell,2021-09-01,7.4,99,['Romance', 'Drama']
en,Dragon Fury,2021-06-15,6.0,88,['Horror', 'Fantasy', 'Mystery']
tr,Kin,2021-10-08,6.6,104,['Crime', 'Drama', 'Thriller']
en,Hypnotic,2021-10-27,6.2,88,['Thriller', 'Drama', 'Horror']
en,Coco,2017-10-27,8.2,105,['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']
en,Rock Dog 2: Rock Around the Park,2021-06-24,7.6,90,['Animation', 'Comedy', 'Music', 'Family']
en,Space Jam: A New Legacy,2021-07-08,7.3,115,['Animation', 'Comedy', 'Family', 'Science Fiction']
en,Wrath of Man,2021-04-22,7.8,119,['Action', 'Crime', 'Thriller']
en,The Many Saints of Newark,2021-09-22,6.8,120,['Crime', 'Drama']
en,Caged,2021-01-26,6.6,81,['Thriller', 'Horror']
en,Injustice,2021-10-09,8.0,78,['Animation', 'Science Fiction', 'Fantasy', 'Action']
en,Cosmic Sin,2021-03-12,4.4,88,['Science Fiction']
en,Cruella,2021-05-26,8.3,134,['Comedy', 'Crime']
fr,BAC Nord,2021-08-18,7.7,105,['Crime', 'Thriller']
en,Mortal Kombat,2021-04-07,7.3,110,['Action', 'Fantasy', 'Adventure']
en,Demonic,2021-07-29,4.9,104,['Horror', 'Thriller']
zh,Crazy Fist,2017-05-25,7.6,97,['Action']
ja,Pokémon the Movie: Secrets of the Jungle,2020-12-25,7.3,98,['Animation', 'Adventure']
en,The Tomorrow War,2021-07-02,8.1,138,['Action', 'Science Fiction', 'Adventure']
en,Infinite,2021-09-09,6.9,106,['Science Fiction', 'Action', 'Thriller']
en,Old,2021-07-21,6.7,108,['Thriller', 'Mystery', 'Horror']
en,LOL Surprise: The Movie,2021-10-08,7.5,0,['Animation', 'Family']
en,Ainbo: Spirit of the Amazon,2021-02-09,7.2,84,['Adventure', 'Animation', 'Family', 'Fantasy']
fr,Miraculous World: Shanghai la légende de Ladydragon,2021-05-15,8.0,52,['Animation', 'Comedy', 'Family', 'Adventure']
en,Marvel Knights: Eternals,2014-09-16,5.6,118,['Animation']
en,Zack Snyder's Justice League,2021-03-18,8.4,242,['Action', 'Adventure', 'Fantasy', 'Science Fiction']
en,Spider-Man: No Way Home,2021-12-15,0.0,0,['Action', 'Adventure', 'Science Fiction']
en,No Time to Die,2021-09-29,7.4,163,['Adventure', 'Action', 'Thriller']
en,Narco Sub,2021-01-22,7.1,93,['Action', 'Drama', 'Crime']
en,Night Teeth,2021-10-20,6.8,107,['Horror', 'Thriller', 'Action']
en,Army of the Dead,2021-05-14,6.4,148,['Action', 'Adventure', 'Crime', 'Horror']
en,Avatar,2009-12-10,7.5,162,['Action', 'Adventure', 'Fantasy', 'Science Fiction']
en,Sweet Girl,2021-08-18,6.9,110,['Action']
en,Godzilla vs. Kong,2021-03-24,7.9,113,['Action', 'Adventure', 'Fantasy']
en,Redemption Day,2021-01-08,6.7,100,['Action']
cn,Dynasty Warriors,2021-04-29,6.7,117,['Action', 'Adventure', 'Fantasy']
es,Mi otra yo,2021-06-15,6.3,89,['Comedy']
en,Don't Breathe 2,2021-08-12,7.7,98,['Thriller', 'Horror']
en,The Conjuring: The Devil Made Me Do It,2021-05-25,7.8,111,['Horror', 'Mystery', 'Thriller']
en,Finch,2021-11-04,8.0,115,['Science Fiction', 'Drama', 'Adventure']
fr,Ava,2017-06-21,6.0,106,['Drama']
en,Solitary,2020-08-31,5.8,89,['Science Fiction']
ja,Mobile Suit Gundam: Hathaway's Flash,2021-06-11,8.1,96,['Animation', 'Action', 'Drama', 'Science Fiction']
en,Catch the Bullet,2021-09-10,5.6,89,['Western', 'Action']
en,Rogue Hostage,2021-06-11,6.4,94,['Action', 'Thriller']
fr,Miraculous World : New York les héros unis,2020-11-21,8.3,55,['Animation', 'Family', 'Comedy', 'Adventure', 'TV Movie']
en,Women,2021-04-08,6.1,90,['Thriller']
en,The Forever Purge,2021-06-30,7.4,103,['Horror', 'Action', 'Thriller']
en,SAS: Red Notice,2021-08-11,6.0,120,['Drama', 'Action', 'Thriller']
en,Bloodthirsty,2021-04-23,6.6,82,['Horror']
en,The Amazing Spider-Man,2012-06-23,6.6,136,['Action', 'Adventure', 'Fantasy']
fr,Comment je suis devenu super-héros,2020-11-19,6.1,101,['Science Fiction', 'Adventure', 'Mystery', 'Action', 'Thriller', 'Fantasy', 'Comedy']
en,Jurassic Hunt,2021-08-26,5.0, 83,['Action', 'Science Fiction', 'Thriller']
en,Knowing,2009-03-19,6.1,121,['Action', 'Mystery', 'Science Fiction', 'Thriller']
en,Monster Pets: A Hotel Transylvania Short,2021-04-02,7.5,6,['Animation', 'Comedy', 'Fantasy']
en,Red Notice,2021-11-05,7.4,116,['Action', 'Comedy', 'Crime', 'Thriller']
ja,Rurouni Kenshin: Final Chapter Part I - The Final/The Beginning,2021-06-04,7.9,138,['Action', 'Adventure', 'Drama']
ja,My Hero Academia: Heroes Rising,2019-12-20,8.5,104,['Animation', 'Action', 'Fantasy', 'Adventure']
en,Sharkdog’s Fintastic Halloween,2021-10-15,3.7,24,['Animation', 'Fantasy', 'Family']
en,Under Wraps,2021-10-01,7.1,91,['Comedy', 'Family', 'Fantasy']
en,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021-09-14,8.3,72	,['Animation', 'Comedy', 'Mystery', 'Family', 'Fantasy']
en,Raya and the Last Dragon,2021-03-03,8.1,107,['Family', 'Fantasy', 'Animation', 'Action', 'Adventure']
en,Avengers: Infinity War,2018-04-25,8.3,149,['Adventure', 'Action', 'Science Fiction']
en,After We Collided,2020-09-02,7.3,105,['Romance', 'Drama']
en,Ava,2020-07-02,5.7,96,['Action', 'Crime', 'Drama', 'Thriller']
